network,config,method,replicate,gt_path,inferred_path,gt_exists,inferred_exists,file_size
Lawrence_2016,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Lawrence_2016.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Lawrence_2016/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,1027
Lawrence_2016,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Lawrence_2016.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Lawrence_2016/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,1027
Lawrence_2016,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Lawrence_2016.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Lawrence_2016/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,1027
Lawrence_2016,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Lawrence_2016.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Lawrence_2016/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,1027
Lawrence_2016,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Lawrence_2016.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Lawrence_2016/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,1027
Diaz-Perez_2018,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Diaz-Perez_2018.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Diaz-Perez_2018/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,478
Diaz-Perez_2018,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Diaz-Perez_2018.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Diaz-Perez_2018/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,482
Diaz-Perez_2018,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Diaz-Perez_2018.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Diaz-Perez_2018/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,482
Diaz-Perez_2018,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Diaz-Perez_2018.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Diaz-Perez_2018/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,482
Diaz-Perez_2018,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Diaz-Perez_2018.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Diaz-Perez_2018/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,482
Wisecaver_2023,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wisecaver_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wisecaver_2023/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,148
Wisecaver_2023,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wisecaver_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wisecaver_2023/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,148
Wisecaver_2023,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wisecaver_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wisecaver_2023/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,148
Wisecaver_2023,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wisecaver_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wisecaver_2023/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,148
Wisecaver_2023,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wisecaver_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wisecaver_2023/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,148
Ding_2023,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ding_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ding_2023/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,95
Ding_2023,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ding_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ding_2023/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,113
Ding_2023,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ding_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ding_2023/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,125
Ding_2023,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ding_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ding_2023/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,113
Ding_2023,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ding_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ding_2023/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,77
Liang_2019,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liang_2019.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liang_2019/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,810
Liang_2019,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liang_2019.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liang_2019/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,786
Liang_2019,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liang_2019.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liang_2019/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,1061
Liang_2019,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liang_2019.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liang_2019/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,1157
Liang_2019,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liang_2019.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liang_2019/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,1130
Popp_2005,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Popp_2005.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Popp_2005/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,332
Popp_2005,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Popp_2005.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Popp_2005/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,254
Popp_2005,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Popp_2005.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Popp_2005/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,254
Popp_2005,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Popp_2005.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Popp_2005/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,254
Popp_2005,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Popp_2005.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Popp_2005/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,254
Wu_2015,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wu_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wu_2015/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,175
Wu_2015,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wu_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wu_2015/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,216
Wu_2015,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wu_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wu_2015/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,264
Wu_2015,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wu_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wu_2015/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,216
Wu_2015,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Wu_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Wu_2015/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,175
Liu_2023,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liu_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liu_2023/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,558
Liu_2023,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liu_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liu_2023/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,558
Liu_2023,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liu_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liu_2023/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,558
Liu_2023,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liu_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liu_2023/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,558
Liu_2023,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Liu_2023.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Liu_2023/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,558
Ren_2024,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ren_2024.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ren_2024/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,135
Ren_2024,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ren_2024.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ren_2024/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,135
Ren_2024,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ren_2024.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ren_2024/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,135
Ren_2024,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ren_2024.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ren_2024/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,135
Ren_2024,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Ren_2024.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Ren_2024/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,135
Marcussen_2011,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2011/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,250
Marcussen_2011,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2011/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,249
Marcussen_2011,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2011/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,456
Marcussen_2011,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2011/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,316
Marcussen_2011,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2011.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2011/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,456
Marcussen_2012,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2012.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2012/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,486
Marcussen_2012,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2012.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2012/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,474
Marcussen_2012,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2012.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2012/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,474
Marcussen_2012,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2012.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2012/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,474
Marcussen_2012,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2012.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2012/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,486
Sessa_2012b,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Sessa_2012b.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Sessa_2012b/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,768
Sessa_2012b,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Sessa_2012b.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Sessa_2012b/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,775
Sessa_2012b,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Sessa_2012b.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Sessa_2012b/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,682
Sessa_2012b,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Sessa_2012b.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Sessa_2012b/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,682
Sessa_2012b,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Sessa_2012b.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Sessa_2012b/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,775
Zhao_2021,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Zhao_2021.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Zhao_2021/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,230
Zhao_2021,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Zhao_2021.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Zhao_2021/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,270
Zhao_2021,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Zhao_2021.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Zhao_2021/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,270
Zhao_2021,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Zhao_2021.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Zhao_2021/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,263
Zhao_2021,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Zhao_2021.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Zhao_2021/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,270
Hori_2014,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Hori_2014.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Hori_2014/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,280
Hori_2014,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Hori_2014.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Hori_2014/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,280
Hori_2014,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Hori_2014.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Hori_2014/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,280
Hori_2014,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Hori_2014.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Hori_2014/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,280
Hori_2014,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Hori_2014.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Hori_2014/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,280
Marcussen_2015,conf_dup_loss_medium_10M,grampa,1,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2015/results/conf_dup_loss_medium_10M/grampa/replicate_1/grampa_result.tre,True,True,205
Marcussen_2015,conf_dup_loss_medium_10M,grampa,2,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2015/results/conf_dup_loss_medium_10M/grampa/replicate_2/grampa_result.tre,True,True,205
Marcussen_2015,conf_dup_loss_medium_10M,grampa,3,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2015/results/conf_dup_loss_medium_10M/grampa/replicate_3/grampa_result.tre,True,True,205
Marcussen_2015,conf_dup_loss_medium_10M,grampa,4,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2015/results/conf_dup_loss_medium_10M/grampa/replicate_4/grampa_result.tre,True,True,205
Marcussen_2015,conf_dup_loss_medium_10M,grampa,5,/groups/itay_mayrose/tomulanovski/gene2net/simulations/networks/Marcussen_2015.tre,/groups/itay_mayrose/tomulanovski/gene2net/simulations/simulations/Marcussen_2015/results/conf_dup_loss_medium_10M/grampa/replicate_5/grampa_result.tre,True,True,205
